,Unnamed: 0,day,contest_id,contestant_id,performance,true_ability,true_relative_ability,market_relative_ability,won,true_dividend,market_dividend,relative_performance_std,implied_relative_ability,implied_relative_ability_std
0,0,0,0,385,-1.2119862273980089,0.2279389118542862,-0.3052891334285849,-0.5356225609547193,False,6.260885544391203,6.019058379487215,5.456381719689247,-0.5306152116206915,1.0850645828297072
1,1,0,0,904,1.6263791561605854,0.9513587070225682,0.418130661739697,1.2324934440758388,False,9.204374897581337,16.083087807938732,5.456381719689247,1.110908580675886,1.0850645828297072
2,2,0,0,2,3.6456759612243386,0.1906277286261629,-0.3426003166567082,-0.5422762988184153,False,6.141175637954934,5.998719053167347,5.456381719689247,-0.536765445551488,1.0850645828297072
3,3,0,0,414,5.216570180165071,1.6784953303380077,1.1452672850551364,1.4057800091961823,False,13.97453524347008,17.890421027893012,5.456381719689247,1.2712807861059867,1.0850645828297072
4,4,0,0,482,-6.905869277505362,0.1607525159975218,-0.3724755292853493,-1.5213488615564552,False,6.048573865660637,3.744378742705863,5.456381719689247,-1.4459804665435567,1.0850645828297072
5,5,0,0,136,-0.307525639661371,0.9957079864326646,0.4624799411497934,1.3632606363512634,False,9.432454980579276,17.422097815629296,5.456381719689247,1.2322373173643508,1.0850645828297072
6,6,0,0,728,-7.922719952413578,-0.4722848632911135,-1.005512908573985,-1.1498105767522713,True,4.427969179336566,4.452365056326317,5.456381719689247,-1.1010655604304873,1.0850645828297072
7,7,0,1,463,1.036849107559033,1.655063937916306,1.275050078723612,0.9333727559941636,False,25.53313168725192,18.957477995749105,3.531564139086264,0.722876133268457,1.1553327714886257
8,8,0,1,439,-0.2777837606219854,0.4779533382115075,0.0979394790188133,-0.3290281398942208,False,12.221978262007756,8.956418381377539,3.531564139086264,-0.4490554385059279,1.1553327714886257
9,9,0,1,348,-3.989954903167941,0.1962322125584447,-0.1837816466342494,0.2912048767521679,True,10.378153854259606,12.789055171900898,3.531564139086264,0.12696525239378662,1.1553327714886257
